raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
262,1994,6,7,Canadian Grand Prix,12-06-94,,,,,,,,,,
263,1994,7,8,French Grand Prix,03-07-94,,,,,,,,,,
264,1994,8,9,British Grand Prix,10-07-94,,,,,,,,,,
265,1994,9,10,German Grand Prix,31-07-94,,,,,,,,,,
266,1994,10,11,Hungarian Grand Prix,14-08-94,,,,,,,,,,
267,1994,11,13,Belgian Grand Prix,28-08-94,,,,,,,,,,
268,1994,12,14,Italian Grand Prix,11-09-94,,,,,,,,,,
269,1994,13,27,Portuguese Grand Prix,25-09-94,,,,,,,,,,
270,1994,14,26,European Grand Prix,16-10-94,,,,,,,,,,
271,1994,15,22,Japanese Grand Prix,06-11-94,,,,,,,,,,
272,1994,16,29,Australian Grand Prix,13-11-94,,,,,,,,,,
273,1993,1,30,South African Grand Prix,14-03-93,,,,,,,,,,
274,1993,2,18,Brazilian Grand Prix,28-03-93,,,,,,,,,,
275,1993,3,31,European Grand Prix,11-04-93,,,,,,,,,,
276,1993,4,21,San Marino Grand Prix,25-04-93,,,,,,,,,,
277,1993,5,4,Spanish Grand Prix,09-05-93,,,,,,,,,,
278,1993,6,6,Monaco Grand Prix,23-05-93,,,,,,,,,,
279,1993,7,7,Canadian Grand Prix,13-06-93,,,,,,,,,,
280,1993,8,8,French Grand Prix,04-07-93,,,,,,,,,,
281,1993,9,9,British Grand Prix,11-07-93,,,,,,,,,,
282,1993,10,10,German Grand Prix,25-07-93,,,,,,,,,,
283,1993,11,11,Hungarian Grand Prix,15-08-93,,,,,,,,,,
284,1993,12,13,Belgian Grand Prix,29-08-93,,,,,,,,,,
285,1993,13,14,Italian Grand Prix,12-09-93,,,,,,,,,,
286,1993,14,27,Portuguese Grand Prix,26-09-93,,,,,,,,,,
287,1993,15,22,Japanese Grand Prix,24-10-93,,,,,,,,,,
288,1993,16,29,Australian Grand Prix,07-11-93,,,,,,,,,,
289,1992,1,30,South African Grand Prix,01-03-92,,,,,,,,,,
290,1992,2,32,Mexican Grand Prix,22-03-92,,,,,,,,,,
291,1992,3,18,Brazilian Grand Prix,05-04-92,,,,,,,,,,
292,1992,4,4,Spanish Grand Prix,03-05-92,,,,,,,,,,
293,1992,5,21,San Marino Grand Prix,17-05-92,,,,,,,,,,
294,1992,6,6,Monaco Grand Prix,31-05-92,,,,,,,,,,
295,1992,7,7,Canadian Grand Prix,14-06-92,,,,,,,,,,
296,1992,8,8,French Grand Prix,05-07-92,,,,,,,,,,
297,1992,9,9,British Grand Prix,12-07-92,,,,,,,,,,
298,1992,10,10,German Grand Prix,26-07-92,,,,,,,,,,
299,1992,11,11,Hungarian Grand Prix,16-08-92,,,,,,,,,,
300,1992,12,13,Belgian Grand Prix,30-08-92,,,,,,,,,,
301,1992,13,14,Italian Grand Prix,13-09-92,,,,,,,,,,
302,1992,14,27,Portuguese Grand Prix,27-09-92,,,,,,,,,,
303,1992,15,22,Japanese Grand Prix,25-10-92,,,,,,,,,,
304,1992,16,29,Australian Grand Prix,08-11-92,,,,,,,,,,
305,1991,1,33,United States Grand Prix,10-03-91,,,,,,,,,,
306,1991,2,18,Brazilian Grand Prix,24-03-91,,,,,,,,,,
307,1991,3,21,San Marino Grand Prix,28-04-91,,,,,,,,,,
308,1991,4,6,Monaco Grand Prix,12-05-91,,,,,,,,,,
309,1991,5,7,Canadian Grand Prix,02-06-91,,,,,,,,,,
310,1991,6,32,Mexican Grand Prix,16-06-91,,,,,,,,,,
311,1991,7,8,French Grand Prix,07-07-91,,,,,,,,,,
312,1991,8,9,British Grand Prix,14-07-91,,,,,,,,,,
313,1991,9,10,German Grand Prix,28-07-91,,,,,,,,,,
314,1991,10,11,Hungarian Grand Prix,11-08-91,,,,,,,,,,
315,1991,11,13,Belgian Grand Prix,25-08-91,,,,,,,,,,
316,1991,12,14,Italian Grand Prix,08-09-91,,,,,,,,,,
317,1991,13,27,Portuguese Grand Prix,22-09-91,,,,,,,,,,
318,1991,14,4,Spanish Grand Prix,29-09-91,,,,,,,,,,
319,1991,15,22,Japanese Grand Prix,20-10-91,,,,,,,,,,
320,1991,16,29,Australian Grand Prix,03-11-91,,,,,,,,,,
321,1990,1,33,United States Grand Prix,11-03-90,,,,,,,,,,
322,1990,2,18,Brazilian Grand Prix,25-03-90,,,,,,,,,,
323,1990,3,21,San Marino Grand Prix,13-05-90,,,,,,,,,,
324,1990,4,6,Monaco Grand Prix,27-05-90,,,,,,,,,,
325,1990,5,7,Canadian Grand Prix,10-06-90,,,,,,,,,,
326,1990,6,32,Mexican Grand Prix,24-06-90,,,,,,,,,,
327,1990,7,34,French Grand Prix,08-07-90,,,,,,,,,,
